ponovitev;najmanjsaRazdalja_B;najblizjiPar_B;tocke_B;casIzvajanja_B;najmanjsaRazdalja_P;najblizjiPar_P;tocke_;casIzvajanja_P
73;0.02960043620599388;{25, 2};{1, 2, 4, 5, 6, 8, 9, 11, 14, 15, 16, 17, 20, 25, 26, 28, 30, 31, 32, 33, 34, 35, 37, 38, 39, 40, 41, 44, 48, 49};0:00:01.849576;0.015130014950128941;{37, 46};{1, 3, 4, 7, 8, 10, 11, 12, 13, 15, 16, 17, 19, 22, 23, 26, 27, 28, 29, 31, 32, 36, 37, 41, 43, 44, 46, 47, 48, 49};0:00:00
74;0.03232482110381747;{1, 44};{1, 2, 3, 4, 5, 8, 9, 10, 11, 13, 14, 15, 19, 22, 24, 25, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 40, 43, 44, 49};0:00:01.497703;0.03232482110381747;{1, 44};{0, 1, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 17, 19, 20, 21, 23, 24, 25, 26, 28, 29, 31, 32, 41, 42, 44, 45, 47, 49};0:00:00.015622
75;0.03069345148045706;{40, 34};{0, 1, 2, 3, 5, 7, 9, 10, 14, 17, 19, 20, 21, 22, 23, 25, 26, 27, 30, 31, 34, 35, 37, 40, 44, 45, 46, 47, 48, 49};0:00:02.573104;0.024228386645199267;{5, 6};{1, 2, 3, 5, 6, 7, 8, 9, 13, 15, 16, 17, 18, 20, 23, 24, 26, 27, 28, 29, 32, 34, 36, 37, 40, 43, 45, 46, 48, 49};0:00:00.015622
76;0.02009484046815779;{25, 43};{1, 3, 5, 6, 7, 9, 11, 14, 16, 17, 18, 19, 22, 23, 25, 28, 29, 32, 33, 34, 35, 37, 38, 40, 41, 42, 43, 44, 46, 49};0:00:02.161842;0.02009484046815779;{25, 43};{2, 4, 5, 6, 7, 9, 10, 11, 13, 15, 19, 20, 23, 25, 26, 28, 29, 31, 34, 35, 36, 37, 39, 40, 42, 43, 45, 47, 48, 49};0:00:00.015633
77;0.023688605088945994;{13, 21};{0, 1, 3, 4, 6, 7, 8, 13, 17, 21, 22, 23, 25, 26, 27, 29, 30, 32, 33, 34, 35, 36, 38, 39, 41, 42, 43, 45, 46, 48};0:00:03.243260;0.024456072887049835;{42, 44};{0, 2, 4, 5, 6, 10, 11, 14, 15, 18, 19, 20, 23, 25, 26, 27, 31, 32, 33, 34, 35, 36, 40, 41, 42, 43, 44, 45, 46, 49};0:00:00
78;0.015432596092561689;{28, 46};{1, 2, 3, 4, 5, 7, 8, 9, 11, 12, 13, 17, 18, 20, 21, 23, 24, 25, 26, 28, 29, 30, 34, 35, 37, 39, 43, 44, 46, 48};0:00:01.683500;0.012638864711268237;{16, 18};{2, 5, 8, 9, 10, 12, 13, 14, 15, 16, 18, 20, 21, 22, 23, 24, 25, 29, 30, 32, 33, 34, 36, 37, 39, 42, 44, 45, 47, 49};0:00:00
79;0.013889504326280042;{4, 21};{0, 1, 3, 4, 6, 7, 8, 10, 13, 14, 16, 17, 20, 21, 22, 24, 28, 29, 31, 32, 33, 34, 39, 41, 42, 43, 44, 45, 48, 49};0:00:02.386719;0.013889504326280042;{4, 21};{0, 2, 3, 4, 6, 8, 9, 11, 13, 17, 19, 21, 22, 23, 25, 26, 27, 28, 32, 34, 35, 36, 37, 38, 39, 41, 42, 44, 48, 49};0:00:00
80;0.03521693793248201;{8, 18};{0, 2, 4, 6, 8, 9, 10, 11, 13, 14, 15, 17, 18, 19, 21, 22, 25, 26, 29, 30, 34, 36, 38, 39, 41, 42, 43, 44, 45, 48};0:00:02.417303;0.03521693793248201;{8, 18};{0, 1, 3, 4, 5, 7, 8, 11, 12, 13, 16, 18, 19, 21, 22, 23, 25, 26, 29, 31, 32, 35, 36, 39, 40, 43, 44, 45, 46, 47};0:00:00
81;0.032569159884337576;{0, 35};{0, 1, 4, 6, 7, 8, 9, 13, 16, 18, 19, 20, 21, 23, 24, 25, 27, 29, 30, 31, 33, 35, 36, 37, 39, 40, 41, 42, 44, 46};0:00:03.340058;0.021351095147179432;{2, 44};{0, 1, 2, 3, 4, 5, 8, 10, 13, 14, 15, 18, 19, 20, 24, 26, 28, 29, 31, 33, 34, 35, 36, 38, 40, 42, 44, 45, 48, 49};0:00:00.015622
82;0.02600054835429045;{0, 5};{0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 13, 16, 18, 19, 20, 21, 22, 26, 28, 31, 33, 36, 38, 40, 41, 44, 45, 46, 48, 49};0:00:04.063256;0.016033427867029132;{22, 15};{1, 4, 6, 7, 8, 12, 13, 15, 16, 17, 22, 24, 25, 28, 29, 30, 31, 32, 33, 34, 37, 39, 40, 41, 43, 44, 46, 47, 48, 49};0:00:00
83;0.00447572444421235;{49, 10};{0, 1, 3, 5, 6, 10, 12, 13, 15, 16, 17, 21, 22, 24, 25, 26, 28, 29, 33, 36, 37, 39, 40, 41, 42, 44, 46, 47, 48, 49};0:00:03.830116;0.00447572444421235;{49, 10};{0, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 23, 24, 26, 28, 31, 32, 35, 36, 39, 40, 41, 43, 48, 49};0:00:00
84;0.038523776948551754;{49, 20};{0, 1, 2, 3, 6, 8, 9, 11, 12, 13, 14, 15, 16, 20, 21, 22, 24, 25, 26, 28, 30, 32, 34, 35, 37, 40, 44, 47, 48, 49};0:00:02.167312;0.019463947451941344;{11, 36};{1, 2, 3, 4, 6, 7, 8, 11, 12, 13, 16, 17, 18, 22, 23, 27, 28, 30, 31, 32, 33, 34, 36, 38, 40, 41, 42, 44, 47, 48};0:00:00
85;0.02890335428086046;{32, 12};{0, 2, 3, 5, 7, 8, 10, 11, 12, 14, 15, 18, 19, 20, 23, 25, 26, 30, 32, 33, 34, 36, 38, 39, 43, 44, 46, 47, 48, 49};0:00:01.356191;0.01130524596600572;{36, 45};{0, 2, 3, 4, 6, 7, 9, 10, 13, 14, 15, 16, 17, 19, 21, 22, 23, 24, 25, 26, 27, 28, 31, 36, 39, 41, 42, 44, 45, 48};0:00:00
86;0.011327328311923282;{18, 35};{0, 2, 3, 4, 5, 6, 8, 9, 10, 12, 13, 18, 20, 21, 22, 23, 25, 28, 29, 34, 35, 36, 39, 41, 43, 44, 45, 47, 48, 49};0:00:04.313078;0.016746410121087553;{49, 20};{3, 4, 5, 7, 8, 10, 12, 13, 14, 15, 20, 22, 23, 24, 25, 26, 27, 28, 32, 36, 37, 40, 41, 43, 44, 45, 46, 47, 48, 49};0:00:00
87;0.010663072533363549;{19, 6};{0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 14, 16, 18, 19, 23, 24, 25, 27, 28, 30, 33, 34, 37, 40, 41, 44, 45, 46, 47, 48};0:00:03.963054;0.010663072533363549;{19, 6};{0, 1, 2, 5, 6, 7, 9, 11, 17, 18, 19, 21, 22, 23, 25, 27, 29, 30, 31, 32, 33, 35, 36, 37, 38, 39, 42, 44, 46, 47};0:00:00.015621
88;0.049792237960009866;{24, 34};{0, 1, 2, 3, 6, 9, 11, 13, 14, 15, 17, 19, 20, 21, 22, 24, 26, 27, 28, 31, 32, 34, 35, 37, 40, 43, 44, 45, 47, 48};0:00:02.249894;0.013564064082020749;{26, 12};{0, 1, 3, 5, 9, 10, 11, 12, 16, 18, 19, 21, 22, 23, 24, 25, 26, 27, 30, 32, 34, 38, 39, 40, 41, 42, 43, 44, 47, 48};0:00:00.015621
89;0.007889575750840315;{19, 21};{0, 1, 2, 3, 4, 5, 8, 9, 10, 12, 14, 15, 17, 18, 19, 20, 21, 22, 25, 28, 31, 33, 36, 38, 41, 45, 46, 47, 48, 49};0:00:03.807211;0.026149964826672024;{4, 13};{0, 1, 2, 4, 5, 7, 8, 9, 10, 11, 12, 13, 16, 18, 24, 26, 30, 32, 33, 34, 35, 36, 37, 38, 40, 44, 45, 47, 48, 49};0:00:00
90;0.0068242273509691986;{4, 39};{1, 2, 3, 4, 5, 7, 8, 11, 13, 16, 17, 18, 19, 21, 22, 23, 24, 29, 30, 31, 33, 34, 35, 36, 37, 39, 41, 46, 47, 49};0:00:02.287256;0.023052165932532048;{32, 17};{1, 2, 3, 5, 7, 8, 9, 10, 12, 13, 14, 15, 17, 18, 19, 21, 24, 25, 27, 32, 35, 37, 40, 42, 44, 45, 46, 47, 48, 49};0:00:00
91;0.031521373478064205;{11, 7};{1, 3, 5, 6, 7, 8, 9, 11, 19, 20, 21, 22, 23, 24, 25, 27, 30, 31, 32, 33, 34, 39, 40, 41, 42, 43, 46, 47, 48, 49};0:00:02.077637;0.025728226675673288;{44, 31};{0, 1, 2, 3, 4, 5, 6, 7, 10, 13, 16, 17, 18, 19, 20, 21, 22, 26, 29, 31, 32, 35, 39, 41, 42, 43, 44, 45, 48, 49};0:00:00
92;0.04085517209486885;{29, 30};{0, 1, 2, 3, 6, 7, 8, 10, 11, 13, 15, 17, 22, 23, 24, 25, 27, 29, 30, 32, 33, 34, 39, 40, 41, 43, 45, 46, 47, 48};0:00:03.019942;0.04085517209486885;{29, 30};{3, 4, 5, 7, 10, 12, 13, 15, 17, 19, 20, 21, 22, 24, 26, 28, 29, 30, 31, 33, 34, 35, 38, 39, 40, 41, 42, 43, 48, 49};0:00:00.003007
93;0.03600537962874554;{29, 30};{0, 1, 3, 4, 8, 9, 12, 14, 15, 16, 17, 18, 20, 24, 26, 27, 29, 30, 31, 33, 34, 35, 36, 37, 40, 41, 42, 43, 46, 48};0:00:03.175198;0.04786862131814234;{40, 47};{0, 3, 6, 7, 11, 12, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 26, 27, 28, 31, 33, 36, 39, 40, 44, 45, 46, 47, 48, 49};0:00:00.015623
94;0.034744109265484;{45, 47};{0, 1, 2, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 20, 21, 27, 30, 31, 32, 33, 35, 38, 40, 41, 45, 46, 47, 48, 49};0:00:02.846886;0.003088127858336663;{11, 43};{2, 3, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 18, 20, 23, 25, 26, 28, 29, 30, 34, 38, 39, 42, 43, 45, 46, 47, 48};0:00:00
95;0.011795875466020182;{49, 46};{1, 3, 4, 8, 9, 10, 12, 13, 14, 15, 17, 18, 20, 22, 24, 28, 30, 32, 35, 36, 37, 38, 39, 41, 44, 45, 46, 47, 48, 49};0:00:01.700434;0.007085608723766969;{22, 23};{3, 4, 6, 8, 9, 10, 11, 12, 14, 17, 18, 20, 22, 23, 24, 25, 26, 27, 29, 30, 31, 33, 36, 38, 40, 41, 42, 43, 44, 45};0:00:00
96;0.03391475557924966;{25, 22};{0, 1, 2, 3, 4, 5, 7, 11, 12, 14, 16, 17, 19, 21, 22, 23, 25, 27, 28, 29, 30, 32, 33, 35, 36, 37, 40, 41, 42, 45};0:00:03.565765;0.020508018811094465;{32, 20};{0, 3, 5, 8, 9, 12, 13, 15, 16, 18, 19, 20, 21, 22, 25, 26, 27, 29, 30, 32, 33, 35, 38, 40, 41, 43, 44, 46, 47, 48};0:00:00.015621
97;0.032669084967447116;{30, 39};{0, 2, 3, 4, 5, 7, 9, 10, 11, 14, 17, 18, 19, 20, 23, 26, 29, 30, 34, 35, 37, 38, 39, 40, 42, 43, 44, 45, 46, 48};0:00:01.871477;0.017451356519173986;{43, 21};{0, 1, 4, 6, 8, 9, 10, 11, 13, 15, 16, 17, 18, 19, 21, 22, 26, 27, 30, 32, 33, 35, 36, 37, 39, 40, 41, 42, 43, 44};0:00:00.015611
98;0.019838612563086173;{26, 39};{1, 2, 3, 6, 7, 8, 9, 10, 11, 12, 15, 16, 17, 18, 23, 24, 25, 26, 27, 29, 30, 31, 34, 35, 38, 39, 40, 45, 46, 47};0:00:03.113484;0.02256571225718882;{15, 31};{0, 4, 6, 7, 8, 9, 11, 12, 13, 15, 16, 17, 18, 19, 24, 25, 27, 28, 30, 31, 32, 33, 34, 40, 41, 42, 43, 45, 47, 49};0:00:00
99;0.013526162282593809;{34, 28};{2, 4, 6, 8, 9, 12, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 27, 28, 29, 31, 33, 34, 35, 38, 39, 40, 41, 42, 43, 46};0:00:01.072324;0.014280263449190587;{3, 39};{1, 2, 3, 7, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 22, 23, 25, 30, 31, 32, 36, 38, 39, 41, 43, 44, 45, 46, 47};0:00:00
100;0.027847040691436457;{0, 31};{0, 1, 2, 3, 5, 7, 8, 9, 10, 11, 12, 13, 15, 17, 20, 21, 22, 23, 26, 27, 28, 30, 31, 32, 35, 37, 43, 44, 46, 47};0:00:03.576879;0.009833425953920212;{24, 7};{1, 2, 3, 6, 7, 12, 13, 14, 16, 17, 19, 21, 23, 24, 25, 27, 28, 30, 33, 34, 36, 37, 38, 41, 42, 43, 44, 47, 48, 49};0:00:00
