ponovitev;najmanjsaRazdalja_B;najblizjiPar_B;tocke_B;casIzvajanja_B;najmanjsaRazdalja_P;najblizjiPar_P;tocke_;casIzvajanja_P
1;0.12503058112215434;{4, 5};{4, 5, 7};0:00:00.013950;0.12949540330853412;{5, 6};{1, 5, 6};0:00:00
2;None;None;None;0:00:01.309559;0.5656190441405936;{9, 2};{9, 2, 6};0:00:00
3;None;None;None;0:00:00.956455;0.12356747167280833;{4, 5};{8, 4, 5};0:00:00
4;0.21203038477054076;{8, 3};{8, 2, 3};0:00:00.004976;0.21203038477054076;{8, 3};{8, 3, 4};0:00:00
5;0.26904221485217744;{1, 4};{1, 4, 7};0:00:00.005984;0.07954565665781405;{2, 7};{8, 2, 7};0:00:00
6;None;None;None;0:00:00.973428;0.06101802049164261;{9, 2};{1, 2, 9};0:00:00
7;None;None;None;0:00:00.925525;0.5671045597791297;{4, 5};{4, 5, 7};0:00:00
8;None;None;None;0:00:01.044057;0.0933378664725019;{3, 6};{8, 3, 6};0:00:00
9;None;None;None;0:00:00.991514;0.10943098012985857;{9, 5};{9, 3, 5};0:00:00
10;0.52644157227914;{1, 2};{1, 2, 3};0:00:00.004984;0.21972908543278855;{8, 3};{8, 2, 3};0:00:00
11;None;None;None;0:00:01.238687;0.02238526223567581;{3, 5};{9, 3, 5};0:00:00
12;0.11508290403584966;{9, 1};{1, 2, 9};0:00:00.004986;0.6889911390710124;{8, 4};{0, 8, 4};0:00:00
13;0.3650531347095136;{8, 2};{8, 2, 6};0:00:00.003990;0.14131012899686454;{0, 6};{0, 3, 6};0:00:00
14;0.18794252267269418;{1, 7};{1, 6, 7};0:00:00.003989;0.2567290364343983;{2, 5};{9, 2, 5};0:00:00
15;None;None;None;0:00:00.958439;0.13678336399945001;{0, 5};{0, 1, 5};0:00:00
16;None;None;None;0:00:00.914554;0.15888026344374412;{4, 5};{2, 4, 5};0:00:00
17;None;None;None;0:00:01.175861;0.14346874619259595;{0, 7};{0, 3, 7};0:00:00
18;0.29130692589875046;{3, 7};{9, 3, 7};0:00:00.007976;0.13165777594728445;{9, 5};{8, 9, 5};0:00:00
19;0.042544561397928914;{0, 4};{0, 2, 4};0:00:00.005984;0.6045112520005932;{5, 7};{1, 5, 7};0:00:00
20;None;None;None;0:00:00.921535;0.03434869418961393;{8, 7};{8, 1, 7};0:00:00
21;None;None;None;0:00:00.903584;0.1550850384733098;{9, 3};{1, 3, 9};0:00:00
22;None;None;None;0:00:00.942494;0.33981460076137837;{8, 7};{8, 3, 7};0:00:00
23;None;None;None;0:00:00.896590;0.0847949459670963;{9, 2};{1, 2, 9};0:00:00
24;None;None;None;0:00:00.901590;0.12007549191494529;{8, 7};{8, 6, 7};0:00:00
25;None;None;None;0:00:00.889621;0.228329476066282;{4, 5};{2, 4, 5};0:00:00
26;None;None;None;0:00:00.922534;0.27545056887086555;{9, 5};{9, 5, 6};0:00:00
27;None;None;None;0:00:00.894607;0.02993329597838825;{4, 6};{1, 4, 6};0:00:00
28;0.12370877742492023;{8, 4};{8, 2, 4};0:00:00.004987;0.6571629566959313;{3, 5};{3, 5, 6};0:00:00
29;0.1865268882711102;{2, 3};{2, 3, 6};0:00:00.003989;0.03485047428826127;{2, 5};{1, 2, 5};0:00:00
30;None;None;None;0:00:00.896603;0.09805438529392851;{9, 6};{9, 5, 6};0:00:00
31;0.03889713740485728;{0, 4};{0, 4, 5};0:00:00.003990;0.28504684031824684;{9, 7};{1, 9, 7};0:00:00
32;None;None;None;0:00:00.886629;0.18413626023327836;{1, 2};{1, 2, 7};0:00:00
