ponovitev;najmanjsaRazdalja_B;najblizjiPar_B;tocke_B;casIzvajanja_B;najmanjsaRazdalja_P;najblizjiPar_P;tocke_;casIzvajanja_P
1;0.06211088864888609;{0, 18};{0, 1, 4, 7, 9, 10, 12, 16, 18, 19};0:00:00.043883;0.03495334765773867;{0, 6};{0, 1, 5, 6, 7, 8, 9, 11, 14, 18};0:00:00
2;0.024637480170996998;{3, 19};{0, 2, 3, 4, 6, 8, 9, 10, 12, 19};0:00:00.030917;0.024637480170996998;{3, 19};{0, 1, 3, 4, 9, 11, 13, 15, 18, 19};0:00:00
3;0.05138140416785322;{11, 19};{0, 1, 2, 5, 6, 8, 11, 16, 17, 19};0:00:00.024933;0.05138140416785322;{11, 19};{3, 4, 6, 7, 8, 10, 11, 15, 18, 19};0:00:00.000999
4;0.043574745914717036;{12, 7};{0, 3, 4, 6, 7, 8, 12, 13, 16, 17};0:00:00.029920;0.07206470924383063;{10, 4};{0, 1, 4, 5, 7, 10, 13, 16, 18, 19};0:00:00
5;0.04333580361553385;{9, 7};{0, 3, 4, 5, 7, 9, 12, 13, 15, 19};0:00:00.036901;0.061686465807593925;{2, 4};{1, 2, 3, 4, 5, 6, 11, 12, 16, 18};0:00:00
6;0.04194891207005185;{17, 19};{0, 3, 5, 9, 10, 11, 15, 17, 18, 19};0:00:00.043882;0.04194891207005185;{17, 19};{1, 2, 3, 4, 9, 13, 14, 15, 17, 19};0:00:00.000998
7;0.0372189975541441;{16, 1};{1, 2, 5, 9, 11, 14, 16, 17, 18, 19};0:00:00.040889;0.019639344453798557;{17, 3};{0, 3, 4, 5, 7, 12, 14, 15, 17, 18};0:00:00
8;0.09592550519387365;{19, 7};{0, 5, 6, 7, 9, 10, 14, 15, 18, 19};0:00:00.046876;0.028444885726561748;{12, 14};{1, 3, 4, 5, 7, 8, 10, 12, 14, 19};0:00:00.000998
9;0.04978573661109833;{3, 19};{0, 1, 2, 3, 5, 7, 11, 13, 17, 19};0:00:00.027925;0.04978573661109833;{3, 19};{1, 3, 6, 7, 8, 12, 14, 16, 18, 19};0:00:00
10;0.036394284500135585;{2, 12};{0, 2, 4, 7, 8, 10, 12, 14, 16, 19};0:00:00.037899;0.027421097275692405;{9, 10};{0, 4, 5, 9, 10, 13, 14, 15, 17, 19};0:00:00.000999
11;0.051938890157728644;{17, 1};{0, 1, 4, 5, 9, 11, 12, 17, 18, 19};0:00:00.046872;0.023670612021010676;{18, 10};{2, 3, 5, 6, 7, 10, 11, 12, 15, 18};0:00:00
12;0.10026356591494597;{1, 15};{0, 1, 3, 6, 8, 11, 12, 15, 17, 18};0:00:00.047872;0.053758156988539495;{9, 15};{0, 5, 7, 9, 10, 11, 13, 15, 17, 19};0:00:00
13;0.16116641240191623;{1, 11};{0, 1, 2, 4, 6, 7, 11, 12, 14, 15};0:00:00.044880;0.05895437934484322;{10, 6};{1, 3, 5, 6, 10, 11, 12, 14, 15, 17};0:00:00
14;0.020306176159435557;{18, 6};{0, 1, 2, 3, 5, 6, 10, 11, 13, 18};0:00:00.033910;0.08001728274811987;{2, 12};{2, 6, 8, 10, 12, 13, 14, 15, 16, 17};0:00:00
15;0.08840709470745993;{18, 10};{1, 2, 3, 6, 7, 8, 10, 12, 13, 18};0:00:00.050864;0.03644213776955301;{3, 14};{0, 2, 3, 5, 6, 9, 10, 13, 14, 19};0:00:00
16;0.08409703004347907;{16, 14};{0, 1, 3, 5, 12, 14, 15, 16, 18, 19};0:00:00.028922;0.004953964504596512;{0, 17};{0, 2, 3, 4, 6, 8, 10, 17, 18, 19};0:00:00
17;0.06822133970490518;{4, 13};{2, 3, 4, 6, 10, 11, 12, 13, 15, 17};0:00:00.041889;0.10843536359319686;{16, 11};{0, 3, 5, 7, 8, 9, 10, 11, 13, 16};0:00:00
18;0.023785669955849735;{1, 13};{0, 1, 6, 10, 11, 12, 13, 14, 16, 18};0:00:00.046875;0.023785669955849735;{1, 13};{0, 1, 3, 5, 6, 9, 13, 15, 16, 17};0:00:00
19;0.07296070304422023;{18, 4};{1, 4, 7, 8, 11, 12, 13, 14, 15, 18};0:00:00.043882;0.04809728873138391;{10, 15};{0, 1, 2, 6, 10, 11, 14, 15, 16, 19};0:00:00
20;0.03438010716275531;{10, 7};{0, 1, 3, 4, 7, 9, 10, 12, 14, 15};0:00:00.026928;0.08064400729289135;{9, 19};{1, 4, 5, 6, 8, 9, 13, 16, 18, 19};0:00:00
21;0.04626893652183379;{6, 7};{1, 4, 5, 6, 7, 9, 12, 14, 15, 19};0:00:00.026928;0.04626893652183379;{6, 7};{0, 2, 6, 7, 8, 10, 11, 14, 16, 19};0:00:00.000998
22;0.0565698968955439;{10, 5};{1, 2, 3, 5, 6, 7, 8, 10, 12, 14};0:00:00.035903;0.08572616623412518;{9, 3};{2, 3, 6, 7, 9, 11, 15, 16, 17, 19};0:00:00.000998
23;0.029138021368455745;{0, 14};{0, 1, 2, 3, 4, 6, 7, 8, 12, 14};0:00:00.039892;0.029138021368455745;{0, 14};{0, 5, 6, 7, 9, 11, 12, 14, 16, 17};0:00:00
24;0.0586365552607368;{2, 15};{0, 2, 8, 9, 11, 12, 14, 15, 17, 18};0:00:00.031914;0.0693634590635148;{0, 7};{0, 1, 3, 4, 6, 7, 10, 11, 12, 15};0:00:00
25;0.0712128168684654;{8, 15};{4, 5, 8, 9, 10, 14, 15, 16, 18, 19};0:00:00.030917;0.012743004774264894;{18, 2};{0, 1, 2, 5, 6, 8, 15, 16, 17, 18};0:00:00.001001
26;0.019059045728976803;{1, 10};{1, 2, 3, 7, 9, 10, 11, 13, 15, 18};0:00:00.027922;0.08602352835807442;{11, 12};{3, 4, 5, 8, 9, 11, 12, 14, 16, 19};0:00:00.000997
27;0.1326280413981343;{0, 11};{0, 1, 4, 5, 8, 11, 13, 16, 18, 19};0:00:00.038897;0.08249959956149555;{8, 17};{0, 1, 3, 5, 8, 11, 12, 14, 15, 17};0:00:00
28;0.0758435997717955;{1, 13};{0, 1, 3, 6, 9, 10, 13, 16, 17, 19};0:00:00.035904;0.038719175556675416;{13, 7};{0, 1, 2, 3, 6, 7, 9, 12, 13, 17};0:00:00
29;0.09120903594623866;{8, 5};{0, 1, 3, 5, 7, 8, 10, 12, 13, 16};0:00:00.063830;0.009443362157431582;{9, 1};{0, 1, 2, 6, 9, 11, 12, 13, 16, 17};0:00:00
30;0.050111691976116805;{0, 6};{0, 2, 3, 4, 5, 6, 8, 9, 13, 17};0:00:00.024932;0.05784479540568964;{16, 17};{4, 5, 6, 7, 11, 12, 14, 16, 17, 19};0:00:00
