ponovitev;najmanjsaRazdalja_B;najblizjiPar_B;tocke_B;casIzvajanja_B;najmanjsaRazdalja_P;najblizjiPar_P;tocke_;casIzvajanja_P
1;0.07890849272503384;{10, 14};{1, 2, 3, 7, 8, 10, 12, 14, 15, 16, 17, 18};0:00:00.030918;0.12122600322139473;{9, 3};{0, 2, 3, 5, 6, 7, 9, 10, 12, 13, 15, 18};0:00:00
2;0.019055365652874814;{1, 6};{1, 2, 3, 6, 7, 8, 10, 11, 12, 13, 17, 19};0:00:00.044875;0.019055365652874814;{1, 6};{0, 1, 3, 4, 5, 6, 9, 10, 12, 14, 16, 18};0:00:00
3;0.06837237589744238;{18, 5};{4, 5, 6, 8, 9, 10, 11, 12, 15, 16, 17, 18};0:00:00.023936;0.09943641970133496;{9, 7};{0, 1, 2, 4, 7, 9, 10, 12, 13, 14, 16, 19};0:00:00.000998
4;0.06373110810989838;{9, 7};{0, 1, 4, 6, 7, 9, 13, 15, 16, 17, 18, 19};0:00:00.033909;0.04156644023107533;{12, 15};{1, 4, 5, 6, 8, 11, 12, 14, 15, 16, 17, 18};0:00:00
5;0.07448569244530359;{10, 11};{0, 1, 2, 4, 6, 7, 9, 10, 11, 15, 18, 19};0:00:00.017950;0.023948208691139124;{8, 2};{2, 4, 7, 8, 9, 10, 11, 14, 15, 16, 17, 19};0:00:00
6;0.08138410157090885;{18, 11};{0, 2, 3, 4, 5, 6, 8, 11, 13, 16, 18, 19};0:00:00.037899;0.03979279824116223;{19, 15};{0, 1, 2, 4, 5, 6, 8, 11, 14, 15, 18, 19};0:00:00
7;0.03679567917539415;{1, 6};{1, 3, 5, 6, 8, 9, 10, 11, 12, 13, 15, 17};0:00:00.032912;0.03679567917539415;{1, 6};{1, 4, 5, 6, 7, 8, 9, 11, 14, 15, 16, 18};0:00:00
8;0.02110577639966141;{14, 15};{0, 1, 4, 5, 6, 10, 12, 14, 15, 16, 18, 19};0:00:00.021943;0.02110577639966141;{14, 15};{0, 2, 3, 5, 6, 7, 9, 10, 11, 14, 15, 19};0:00:00
9;0.06460482628824843;{17, 3};{0, 1, 3, 4, 6, 7, 8, 9, 10, 16, 17, 18};0:00:00.026928;0.053918372351636344;{8, 15};{0, 1, 2, 3, 5, 7, 8, 9, 13, 15, 17, 19};0:00:00
10;0.040043734693960595;{1, 4};{0, 1, 4, 5, 7, 9, 11, 13, 16, 17, 18, 19};0:00:00.021941;0.040043734693960595;{1, 4};{0, 1, 3, 4, 8, 10, 12, 13, 15, 16, 17, 18};0:00:00
11;0.049936492354881575;{17, 1};{0, 1, 2, 3, 4, 5, 9, 12, 15, 16, 17, 18};0:00:00.036896;0.06470655373046276;{18, 4};{0, 2, 4, 7, 9, 10, 11, 13, 14, 15, 16, 18};0:00:00
12;0.031431127924799865;{1, 15};{0, 1, 5, 6, 8, 10, 11, 12, 13, 14, 15, 16};0:00:00.020944;0.045299683135706814;{12, 13};{2, 3, 5, 7, 8, 9, 12, 13, 16, 17, 18, 19};0:00:00.000997
13;0.0693237656746032;{9, 14};{0, 2, 3, 4, 6, 7, 9, 14, 15, 16, 17, 19};0:00:00.031915;0.03449748661424727;{0, 18};{0, 3, 5, 7, 9, 11, 12, 14, 16, 17, 18, 19};0:00:00
