ponovitev;najmanjsaRazdalja_B;najblizjiPar_B;tocke_B;casIzvajanja_B;najmanjsaRazdalja_P;najblizjiPar_P;tocke_;casIzvajanja_P
1;0.04772164257622085;{14, 6};{0, 1, 3, 4, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 19};0:00:00.023936;0.04772164257622085;{14, 6};{1, 2, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 17, 18, 19};0:00:00
2;0.024196450781045573;{1, 6};{0, 1, 2, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 19};0:00:00.042885;0.024196450781045573;{1, 6};{0, 1, 2, 3, 6, 8, 9, 11, 12, 13, 14, 15, 17, 18, 19};0:00:00
3;0.051972441358325065;{18, 5};{2, 3, 4, 5, 6, 7, 8, 10, 11, 13, 14, 15, 17, 18, 19};0:00:00.032911;0.051972441358325065;{18, 5};{0, 1, 2, 3, 4, 5, 7, 11, 12, 13, 14, 15, 16, 17, 18};0:00:00.000998
4;0.09287882282459693;{0, 3};{0, 1, 2, 3, 6, 7, 8, 9, 10, 12, 14, 15, 17, 18, 19};0:00:00.023936;0.044689198593931584;{16, 2};{1, 2, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 19};0:00:00
5;0.07572372106048435;{18, 6};{1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18};0:00:00.022938;0.07324526822052926;{0, 15};{0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 13, 14, 15, 18, 19};0:00:00
6;0.01196173894652408;{18, 19};{0, 1, 2, 3, 4, 5, 6, 9, 10, 11, 13, 16, 17, 18, 19};0:00:00.031913;0.07993684268272355;{2, 12};{0, 1, 2, 3, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17};0:00:00
7;0.03663386679545758;{1, 15};{0, 1, 2, 5, 6, 8, 9, 10, 13, 14, 15, 16, 17, 18, 19};0:00:00.030922;0.04211390816416776;{19, 6};{2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 16, 17, 18, 19};0:00:00
8;0.030656110944791506;{18, 12};{1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 14, 15, 17, 18, 19};0:00:00.045875;0.05090128683173271;{10, 13};{2, 3, 4, 5, 6, 8, 9, 10, 11, 13, 14, 16, 17, 18, 19};0:00:00
9;0.04200275382169666;{12, 6};{0, 1, 3, 4, 6, 7, 8, 9, 10, 12, 14, 15, 16, 18, 19};0:00:00.015956;0.04047866165710224;{8, 5};{0, 1, 2, 3, 5, 6, 8, 9, 10, 11, 14, 16, 17, 18, 19};0:00:00
10;0.0035285320921898014;{1, 15};{0, 1, 2, 3, 5, 6, 7, 9, 10, 11, 12, 14, 15, 16, 19};0:00:00.050864;0.0035285320921898014;{1, 15};{0, 1, 2, 3, 5, 6, 7, 8, 11, 13, 15, 16, 17, 18, 19};0:00:00
11;0.06653951299125575;{18, 19};{0, 1, 2, 3, 5, 7, 9, 10, 13, 14, 15, 16, 17, 18, 19};0:00:00.027925;0.07105399164094192;{12, 7};{1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 13, 14, 15, 16, 17};0:00:00.000998
12;0.017578909609382243;{16, 17};{2, 3, 4, 5, 6, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19};0:00:00.042885;0.017578909609382243;{16, 17};{1, 2, 4, 5, 6, 7, 8, 9, 11, 12, 14, 15, 16, 17, 19};0:00:00.000997
13;0.08868659505899029;{8, 11};{1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 14, 17, 18, 19};0:00:00.022939;0.058501348770527824;{0, 11};{0, 1, 2, 3, 5, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18};0:00:00
14;0.030897798140320884;{11, 15};{1, 3, 5, 6, 7, 8, 10, 11, 12, 14, 15, 16, 17, 18, 19};0:00:00.025930;0.06643388122050825;{14, 6};{0, 1, 3, 4, 5, 6, 8, 9, 10, 12, 13, 14, 17, 18, 19};0:00:00
