ponovitev;najmanjsaRazdalja_B;najblizjiPar_B;tocke_B;casIzvajanja_B;najmanjsaRazdalja_P;najblizjiPar_P;tocke_;casIzvajanja_P
1;0.1583005778557819;{8, 4};{0, 1, 4, 5, 7, 8, 9};0:00:00.021941;0.09146381780223588;{1, 3};{0, 1, 2, 3, 6, 7, 9};0:00:00
2;None;None;None;0:00:01.387292;0.16903165956936447;{9, 3};{0, 1, 2, 3, 5, 8, 9};0:00:00
3;0.1174529899497911;{1, 7};{1, 2, 3, 6, 7, 8, 9};0:00:00.027923;0.23102903338072162;{8, 6};{0, 3, 4, 6, 7, 8, 9};0:00:00
4;None;None;None;0:00:00.934502;0.06347223233808712;{3, 5};{0, 1, 3, 4, 5, 7, 9};0:00:00
5;None;None;None;0:00:00.923531;0.021559702143453097;{8, 5};{0, 1, 2, 3, 5, 7, 8};0:00:00
6;0.17861155139549023;{8, 5};{0, 2, 4, 5, 6, 8, 9};0:00:00.017958;0.10412294218568767;{3, 6};{0, 1, 3, 5, 6, 7, 8};0:00:00
7;0.17240398762056516;{3, 4};{1, 2, 3, 4, 7, 8, 9};0:00:00.025925;0.1634541090999515;{9, 6};{0, 1, 3, 5, 6, 8, 9};0:00:00
8;0.07143870402711638;{2, 4};{0, 1, 2, 4, 5, 7, 8};0:00:00.017952;0.1082372134303424;{3, 4};{0, 3, 4, 6, 7, 8, 9};0:00:00
9;None;None;None;0:00:00.972402;0.04946063216074329;{0, 3};{0, 3, 4, 5, 6, 7, 9};0:00:00
10;0.024802717504717617;{3, 5};{0, 1, 3, 4, 5, 6, 7};0:00:00.013961;0.024802717504717617;{3, 5};{0, 3, 4, 5, 7, 8, 9};0:00:00
11;None;None;None;0:00:01.053184;0.1009286643568345;{8, 3};{0, 1, 3, 4, 5, 8, 9};0:00:00
12;0.11537589019661813;{9, 4};{1, 2, 4, 5, 6, 8, 9};0:00:00.017952;0.026927480374592163;{1, 7};{0, 1, 2, 5, 6, 7, 8};0:00:00
13;0.054916887938963745;{0, 9};{0, 1, 2, 4, 5, 8, 9};0:00:00.013963;0.0523739551922379;{2, 3};{0, 2, 3, 5, 7, 8, 9};0:00:00
14;None;None;None;0:00:00.970405;0.24401770292378402;{1, 2};{0, 1, 2, 3, 6, 8, 9};0:00:00
15;None;None;None;0:00:00.948464;0.09252815480242703;{6, 7};{0, 1, 3, 5, 6, 7, 8};0:00:00
16;0.08420350864940802;{9, 6};{2, 3, 4, 5, 6, 7, 9};0:00:00.016954;0.13738235338408306;{2, 4};{0, 1, 2, 3, 4, 5, 7};0:00:00.000998
17;None;None;None;0:00:00.912560;0.12987492631529018;{9, 5};{2, 3, 4, 5, 7, 8, 9};0:00:00
18;0.002185399402761925;{0, 6};{0, 1, 2, 5, 6, 7, 9};0:00:00.017952;0.002185399402761925;{0, 6};{0, 1, 3, 4, 6, 7, 8};0:00:00
19;0.046705656590912234;{8, 0};{0, 1, 2, 3, 4, 6, 8};0:00:00.017952;0.046705656590912234;{8, 0};{0, 1, 2, 4, 5, 7, 8};0:00:00
20;0.14234261899130737;{5, 7};{1, 4, 5, 6, 7, 8, 9};0:00:00.026930;0.1585325977107542;{8, 4};{1, 2, 3, 4, 7, 8, 9};0:00:00
21;0.06671578959275731;{9, 6};{0, 1, 2, 4, 5, 6, 9};0:00:00.016953;0.06671578959275731;{9, 6};{0, 1, 3, 4, 6, 8, 9};0:00:00.000997
22;None;None;None;0:00:00.986363;0.05221635641753123;{0, 3};{0, 1, 2, 3, 5, 6, 8};0:00:00
23;None;None;None;0:00:00.917547;0.13158537715173393;{5, 6};{0, 3, 5, 6, 7, 8, 9};0:00:00
24;0.1272969194071615;{0, 7};{0, 1, 3, 5, 7, 8, 9};0:00:00.012965;0.0371090141157594;{2, 5};{1, 2, 4, 5, 6, 8, 9};0:00:00
25;0.0708399615394098;{2, 6};{0, 1, 2, 5, 6, 7, 9};0:00:00.017952;0.03556246363400718;{3, 7};{1, 2, 3, 6, 7, 8, 9};0:00:00
26;0.09383205153890507;{8, 3};{1, 3, 4, 5, 7, 8, 9};0:00:00.022939;0.1290781836439216;{1, 5};{0, 1, 2, 5, 6, 7, 8};0:00:00.000997
27;None;None;None;0:00:00.982374;0.0957693929109496;{9, 5};{0, 2, 4, 5, 7, 8, 9};0:00:00
28;0.04638425290252175;{4, 6};{0, 1, 3, 4, 6, 7, 8};0:00:00.012965;0.09879074558518136;{9, 1};{0, 1, 2, 5, 7, 8, 9};0:00:00
29;0.17849284676054142;{2, 7};{0, 1, 2, 3, 4, 6, 7};0:00:00.021942;0.17572114046698176;{8, 1};{0, 1, 3, 4, 5, 7, 8};0:00:00
30;None;None;None;0:00:00.940487;0.15812533002439402;{9, 6};{2, 3, 4, 5, 6, 7, 9};0:00:00
31;0.10665647593232358;{4, 5};{1, 2, 3, 4, 5, 6, 9};0:00:00.021941;0.1427620873155618;{9, 3};{1, 3, 5, 6, 7, 8, 9};0:00:00
32;0.12551566028190086;{8, 6};{0, 1, 2, 3, 6, 8, 9};0:00:00.017952;0.0393084721964732;{6, 7};{0, 3, 4, 5, 6, 7, 8};0:00:00
33;0.1238681819383578;{3, 6};{0, 1, 2, 3, 5, 6, 9};0:00:00.017952;0.1823484954673961;{1, 7};{1, 2, 4, 5, 7, 8, 9};0:00:00
34;0.0971751885232029;{6, 7};{0, 1, 2, 3, 6, 7, 8};0:00:00.021941;0.0971751885232029;{6, 7};{1, 2, 4, 6, 7, 8, 9};0:00:00
35;0.06380314747398229;{0, 2};{0, 2, 4, 5, 7, 8, 9};0:00:00.012966;0.15399870241797672;{3, 4};{1, 2, 3, 4, 5, 8, 9};0:00:00
36;0.06595391095596928;{2, 7};{0, 2, 4, 5, 6, 7, 9};0:00:00.022938;0.08039374956458442;{3, 6};{0, 1, 3, 4, 5, 6, 8};0:00:00
37;0.1100180283174965;{1, 4};{1, 3, 4, 5, 6, 7, 9};0:00:00.018948;0.1100180283174965;{1, 4};{0, 1, 2, 4, 6, 7, 8};0:00:00
38;0.103597881219611;{4, 5};{0, 1, 3, 4, 5, 6, 8};0:00:00.022939;0.04415419934437338;{8, 7};{0, 1, 2, 3, 7, 8, 9};0:00:00
39;0.19214482192687074;{2, 7};{0, 1, 2, 4, 5, 7, 9};0:00:00.012965;0.08051258489127029;{1, 3};{0, 1, 3, 4, 5, 8, 9};0:00:00.000998
40;0.1015287736195524;{2, 6};{0, 1, 2, 6, 7, 8, 9};0:00:00.021941;0.1015287736195524;{2, 6};{1, 2, 3, 4, 5, 6, 7};0:00:00
41;0.1342850554925627;{3, 5};{0, 1, 3, 5, 6, 8, 9};0:00:00.027925;0.0631382034503143;{8, 4};{0, 1, 3, 4, 5, 8, 9};0:00:00
42;0.07952980266475285;{3, 7};{0, 1, 3, 5, 6, 7, 9};0:00:00.016955;0.07952980266475285;{3, 7};{0, 2, 3, 4, 6, 7, 8};0:00:00.000997
43;0.19494507999889296;{8, 2};{0, 2, 3, 6, 7, 8, 9};0:00:00.012965;0.07622112996024719;{9, 1};{0, 1, 2, 3, 4, 7, 9};0:00:00
44;None;None;None;0:00:00.982376;0.12073431767990161;{9, 1};{0, 1, 2, 3, 4, 7, 9};0:00:00
45;None;None;None;0:00:00.983369;0.22805072058879922;{8, 1};{1, 3, 4, 5, 6, 8, 9};0:00:00
46;0.13899012585835407;{1, 3};{0, 1, 3, 4, 5, 6, 7};0:00:00.017952;0.14120893364884807;{0, 4};{0, 2, 4, 5, 6, 8, 9};0:00:00
47;None;None;None;0:00:01.094077;0.10382192493096364;{9, 7};{0, 1, 3, 4, 5, 7, 9};0:00:00
48;None;None;None;0:00:00.952452;0.18553354838848718;{9, 1};{1, 3, 5, 6, 7, 8, 9};0:00:00
49;0.12995647285354178;{9, 4};{0, 2, 3, 4, 5, 6, 9};0:00:00.017952;0.13181585910358656;{3, 6};{0, 1, 2, 3, 5, 6, 7};0:00:00
50;None;None;None;0:00:00.924528;0.20578787633314055;{5, 7};{0, 2, 3, 5, 6, 7, 9};0:00:00
51;0.016716578650533255;{1, 3};{1, 2, 3, 4, 6, 7, 8};0:00:00.026928;0.08595054994947639;{2, 7};{0, 2, 3, 6, 7, 8, 9};0:00:00
52;None;None;None;0:00:00.924528;0.10650192744433429;{3, 7};{0, 2, 3, 6, 7, 8, 9};0:00:00
53;0.09686934918789429;{8, 6};{0, 1, 2, 6, 7, 8, 9};0:00:00.026928;0.09686934918789429;{8, 6};{0, 2, 4, 5, 6, 7, 8};0:00:00
54;None;None;None;0:00:00.976389;0.05329029016570048;{8, 4};{0, 1, 2, 3, 4, 6, 8};0:00:00
55;0.024083295653391967;{8, 0};{0, 1, 4, 5, 7, 8, 9};0:00:00.022939;0.024083295653391967;{8, 0};{0, 2, 3, 5, 6, 8, 9};0:00:00
56;None;None;None;0:00:00.974397;0.15905922254042534;{4, 6};{0, 1, 4, 5, 6, 8, 9};0:00:00
57;None;None;None;0:00:00.951455;0.06779384828584294;{8, 0};{0, 1, 2, 4, 5, 7, 8};0:00:00
58;0.08816715412698932;{9, 2};{0, 1, 2, 4, 7, 8, 9};0:00:00.017951;0.08816715412698932;{9, 2};{0, 1, 2, 4, 5, 6, 9};0:00:00
59;None;None;None;0:00:00.952454;0.06043002305857138;{9, 1};{0, 1, 3, 5, 7, 8, 9};0:00:00
60;0.09016561907710478;{1, 7};{0, 1, 4, 5, 6, 7, 8};0:00:00.022939;0.09016561907710478;{1, 7};{0, 1, 2, 3, 4, 5, 7};0:00:00
61;0.040815931903019034;{1, 5};{0, 1, 2, 4, 5, 8, 9};0:00:00.021941;0.10634243343901842;{4, 7};{0, 2, 3, 4, 6, 7, 9};0:00:00
62;0.10406625543255434;{0, 4};{0, 1, 2, 3, 4, 5, 9};0:00:00.022939;0.10406625543255434;{0, 4};{0, 2, 3, 4, 6, 7, 9};0:00:00
63;0.07128644802930094;{8, 7};{0, 1, 4, 5, 6, 7, 8};0:00:00.017952;0.07128644802930094;{8, 7};{0, 1, 2, 4, 7, 8, 9};0:00:00
64;None;None;None;0:00:00.939493;0.17840362404636304;{9, 2};{1, 2, 3, 4, 5, 7, 9};0:00:00.000994
