ponovitev;najmanjsaRazdalja_B;najblizjiPar_B;tocke_B;casIzvajanja_B;najmanjsaRazdalja_P;najblizjiPar_P;tocke_;casIzvajanja_P
1;0.03093811338452326;{48, 42};{1, 3, 4, 5, 6, 8, 9, 10, 19, 20, 21, 23, 30, 31, 35, 37, 38, 39, 41, 42, 43, 44, 46, 48, 49};0:00:03.859682;0.02084674445819218;{45, 46};{0, 2, 4, 5, 6, 7, 10, 13, 14, 16, 19, 20, 25, 26, 27, 31, 32, 36, 37, 39, 43, 45, 46, 47, 49};0:00:00.001994
2;0.025049874469063496;{34, 21};{1, 2, 4, 6, 7, 8, 9, 12, 13, 16, 18, 20, 21, 23, 24, 26, 29, 32, 34, 35, 39, 41, 45, 47, 48};0:00:02.310822;0.016908967026636964;{49, 29};{1, 3, 4, 5, 6, 12, 14, 15, 17, 18, 19, 26, 27, 29, 30, 32, 35, 38, 39, 41, 42, 44, 45, 47, 49};0:00:00.005983
3;0.022879596678320617;{43, 46};{0, 3, 4, 5, 7, 8, 10, 11, 13, 16, 19, 20, 22, 23, 25, 27, 28, 29, 33, 39, 42, 43, 46, 47, 49};0:00:06.606338;0.022879596678320617;{43, 46};{4, 5, 6, 8, 9, 10, 13, 15, 18, 21, 22, 23, 24, 26, 31, 35, 36, 37, 39, 41, 42, 43, 44, 46, 49};0:00:00.002992
4;0.03184537509441888;{35, 4};{0, 4, 6, 9, 11, 12, 13, 14, 15, 16, 17, 20, 22, 23, 26, 27, 31, 32, 34, 35, 39, 42, 44, 45, 46};0:00:02.043537;0.03825482856902209;{22, 23};{0, 2, 3, 5, 7, 8, 14, 16, 22, 23, 27, 28, 29, 30, 31, 33, 39, 40, 41, 42, 43, 45, 47, 48, 49};0:00:00.002992
5;0.014638069366244079;{22, 47};{0, 1, 2, 5, 6, 8, 10, 12, 15, 16, 17, 20, 22, 24, 25, 26, 30, 31, 32, 33, 36, 40, 43, 46, 47};0:00:03.001974;0.014638069366244079;{22, 47};{1, 3, 4, 5, 6, 7, 12, 13, 16, 17, 20, 22, 24, 25, 28, 29, 33, 34, 35, 36, 39, 40, 41, 45, 47};0:00:00.002992
6;0.01552319845181493;{36, 12};{0, 1, 2, 3, 5, 9, 10, 12, 15, 20, 21, 23, 24, 25, 26, 32, 35, 36, 40, 41, 42, 43, 44, 45, 49};0:00:07.855999;0.01552319845181493;{36, 12};{2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 15, 18, 20, 24, 26, 28, 31, 33, 34, 36, 40, 41, 42, 45};0:00:00.002992
7;0.017110394615206057;{1, 20};{1, 5, 7, 8, 9, 10, 12, 15, 16, 18, 19, 20, 23, 25, 28, 31, 33, 35, 37, 38, 40, 43, 45, 46, 48};0:00:01.854043;0.008544225396210215;{19, 29};{1, 5, 9, 11, 13, 17, 18, 19, 20, 21, 22, 24, 26, 28, 29, 30, 35, 36, 40, 41, 42, 44, 45, 48, 49};0:00:00.003989
8;0.0038406044164363564;{24, 1};{0, 1, 2, 4, 5, 6, 13, 18, 21, 22, 24, 26, 28, 29, 30, 33, 34, 35, 36, 37, 42, 44, 45, 46, 48};0:00:04.491992;0.026541447832634915;{40, 5};{2, 3, 5, 7, 9, 10, 14, 15, 16, 17, 19, 25, 26, 28, 29, 33, 34, 37, 39, 40, 42, 45, 47, 48, 49};0:00:00.002991
9;0.023255510929886453;{0, 49};{0, 1, 6, 7, 11, 12, 13, 14, 15, 16, 17, 18, 20, 22, 26, 27, 34, 35, 39, 41, 43, 44, 46, 47, 49};0:00:04.157882;0.023255510929886453;{0, 49};{0, 1, 2, 3, 4, 7, 8, 13, 14, 20, 21, 25, 26, 27, 28, 29, 30, 33, 36, 38, 39, 42, 45, 47, 49};0:00:00.001995
10;0.016912499832451664;{1, 38};{1, 3, 4, 7, 8, 9, 12, 13, 17, 18, 19, 20, 23, 28, 29, 31, 33, 35, 36, 38, 39, 41, 44, 45, 46};0:00:02.865340;0.016912499832451664;{1, 38};{0, 1, 5, 6, 7, 10, 11, 13, 14, 16, 17, 20, 23, 26, 30, 31, 32, 33, 35, 36, 37, 38, 42, 44, 48};0:00:00.001995
11;0.030249457227431744;{3, 28};{0, 1, 3, 6, 7, 11, 12, 13, 14, 20, 22, 23, 25, 26, 27, 28, 31, 32, 33, 35, 36, 40, 42, 43, 49};0:00:03.426839;0.03043499907145704;{42, 45};{0, 3, 6, 8, 9, 11, 12, 16, 17, 18, 20, 23, 24, 27, 31, 32, 37, 38, 39, 42, 44, 45, 47, 48, 49};0:00:00.003989
12;0.02252149871239787;{3, 22};{0, 1, 3, 8, 9, 10, 12, 13, 15, 16, 17, 19, 20, 22, 24, 26, 30, 31, 32, 35, 40, 42, 43, 46, 49};0:00:03.690134;0.04073378055484379;{3, 20};{2, 3, 4, 7, 8, 10, 11, 14, 19, 20, 21, 23, 24, 25, 28, 29, 33, 36, 37, 40, 42, 43, 44, 46, 48};0:00:00.002996
13;0.006668460716825399;{20, 15};{1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 15, 19, 20, 24, 26, 27, 29, 31, 32, 38, 41, 42, 45, 48, 49};0:00:02.133315;0.006668460716825399;{20, 15};{3, 5, 10, 13, 14, 15, 16, 18, 19, 20, 21, 23, 24, 28, 32, 35, 36, 39, 40, 41, 42, 43, 44, 46, 48};0:00:00.001972
14;0.016682394109340696;{37, 6};{1, 3, 5, 6, 10, 11, 12, 13, 14, 17, 18, 19, 20, 21, 31, 32, 34, 35, 36, 37, 38, 39, 41, 42, 45};0:00:02.458428;0.028784467305485707;{43, 45};{1, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 24, 28, 29, 30, 34, 36, 40, 41, 43, 44, 45, 49};0:00:00.001995
15;0.01501682487374702;{33, 5};{0, 1, 2, 3, 5, 8, 10, 11, 14, 15, 19, 22, 23, 25, 26, 29, 31, 33, 34, 35, 36, 37, 38, 41, 45};0:00:02.217092;0.01501682487374702;{33, 5};{3, 5, 6, 8, 9, 10, 12, 14, 16, 17, 18, 19, 21, 26, 27, 31, 33, 35, 36, 38, 39, 45, 46, 47, 49};0:00:00.002974
