ponovitev;najmanjsaRazdalja_B;najblizjiPar_B;tocke_B;casIzvajanja_B;najmanjsaRazdalja_P;najblizjiPar_P;tocke_;casIzvajanja_P
1;0.022342023696669794;{8, 5};{0, 1, 3, 4, 5, 8};0:00:00.033909;0.022342023696669794;{8, 5};{1, 2, 4, 5, 8, 9};0:00:00
2;0.06752684011977618;{1, 3};{0, 1, 3, 5, 6, 8};0:00:00.010000;0.06752684011977618;{1, 3};{1, 3, 4, 6, 7, 8};0:00:00
3;0.0370087084213016;{8, 7};{2, 3, 6, 7, 8, 9};0:00:00.009947;0.07594427834014358;{5, 6};{0, 1, 2, 5, 6, 7};0:00:00
4;0.1941835898890933;{2, 5};{0, 1, 2, 5, 6, 8};0:00:00.028923;0.13658319906948685;{9, 1};{0, 1, 2, 6, 7, 9};0:00:00
5;0.13465939908120791;{1, 3};{1, 2, 3, 4, 8, 9};0:00:00.033908;0.13465939908120791;{1, 3};{0, 1, 2, 3, 6, 7};0:00:00
6;0.0852740820268136;{2, 6};{0, 1, 2, 4, 5, 6};0:00:00.008976;0.0852740820268136;{2, 6};{1, 2, 3, 4, 6, 7};0:00:00
7;0.04914203028058486;{8, 2};{0, 2, 4, 5, 7, 8};0:00:00.018961;0.04914203028058486;{8, 2};{2, 4, 5, 6, 8, 9};0:00:00
8;0.08682688495463578;{0, 5};{0, 1, 2, 5, 7, 9};0:00:00.008979;0.06333638356262669;{8, 2};{0, 2, 3, 4, 6, 8};0:00:00
9;0.13424684933412498;{8, 2};{1, 2, 3, 4, 5, 8};0:00:00.014960;0.09624141735599817;{8, 6};{0, 1, 2, 6, 7, 8};0:00:00
10;0.03832560718259153;{9, 4};{2, 3, 4, 5, 7, 9};0:00:00.008991;0.03556617732211914;{1, 3};{1, 3, 4, 5, 6, 9};0:00:00
11;0.18674412315191588;{0, 6};{0, 1, 4, 6, 7, 9};0:00:00.017950;0.167392935533655;{3, 7};{0, 3, 5, 6, 7, 8};0:00:00.000981
12;0.10212480973865755;{0, 7};{0, 1, 4, 5, 7, 9};0:00:00.030606;0.18197137673887717;{0, 4};{0, 2, 3, 4, 5, 6};0:00:00
13;0.13838809030861915;{0, 7};{0, 1, 3, 4, 7, 8};0:00:00.015957;0.16525657267645724;{8, 4};{0, 3, 4, 6, 8, 9};0:00:00
14;0.21194137805149935;{3, 7};{1, 3, 4, 5, 6, 7};0:00:00.015957;0.08783970341248071;{8, 5};{0, 2, 5, 6, 8, 9};0:00:00
15;0.10200316035383696;{1, 2};{1, 2, 4, 5, 6, 9};0:00:00.015957;0.08205495355577522;{5, 7};{0, 4, 5, 7, 8, 9};0:00:00.000998
16;0.1136392224917067;{8, 2};{1, 2, 5, 7, 8, 9};0:00:00.015958;0.04854905355513178;{2, 6};{0, 1, 2, 3, 6, 8};0:00:00
17;0.050805084114343146;{8, 4};{2, 3, 4, 6, 8, 9};0:00:00.013969;0.050805084114343146;{8, 4};{1, 2, 4, 7, 8, 9};0:00:00
18;0.19196056769079212;{1, 5};{1, 2, 3, 5, 6, 7};0:00:00.016949;0.17029290910008976;{0, 2};{0, 2, 3, 4, 6, 8};0:00:00
19;0.06443809320048685;{0, 1};{0, 1, 2, 4, 7, 9};0:00:00.013962;0.06443809320048685;{0, 1};{0, 1, 3, 7, 8, 9};0:00:00
20;0.08043993606832599;{0, 6};{0, 4, 5, 6, 7, 9};0:00:00.024933;0.0642230254211302;{8, 5};{2, 3, 4, 5, 7, 8};0:00:00
21;0.1361678574451095;{1, 5};{0, 1, 4, 5, 7, 9};0:00:00.039894;0.07812848758240097;{1, 3};{1, 2, 3, 5, 6, 8};0:00:00
22;0.09171983987379133;{0, 5};{0, 2, 3, 5, 6, 7};0:00:00.022937;0.09171983987379133;{0, 5};{0, 1, 2, 5, 8, 9};0:00:00
23;0.011365695685131794;{1, 2};{1, 2, 4, 5, 6, 9};0:00:00.027925;0.12651073869729598;{4, 6};{0, 3, 4, 5, 6, 8};0:00:00
24;0.10672883329210797;{0, 6};{0, 1, 3, 6, 7, 9};0:00:00.009976;0.2333258015893313;{3, 4};{3, 4, 5, 6, 7, 8};0:00:00
25;0.16048319732807867;{9, 4};{0, 3, 4, 6, 7, 9};0:00:00.010968;0.06191449690329788;{5, 6};{1, 3, 4, 5, 6, 8};0:00:00.000997
26;0.142888853294665;{4, 5};{0, 2, 4, 5, 6, 7};0:00:00.013963;0.17585756142617126;{8, 0};{0, 1, 2, 4, 8, 9};0:00:00
27;0.1402133918733593;{9, 5};{0, 1, 5, 6, 7, 9};0:00:00.009973;0.1303859466905238;{8, 9};{0, 3, 4, 5, 8, 9};0:00:00
