ponovitev;najmanjsaRazdalja_B;najblizjiPar_B;tocke_B;casIzvajanja_B;najmanjsaRazdalja_P;najblizjiPar_P;tocke_;casIzvajanja_P
1;0.20570845474289773;{1, 5};{0, 1, 5, 7, 9};0:00:00.015958;0.1586617489213124;{8, 0};{0, 2, 6, 8, 9};0:00:00
2;0.0878108817845676;{8, 2};{1, 2, 3, 8, 9};0:00:00.013968;0.34187371353602414;{8, 4};{0, 3, 4, 5, 8};0:00:00
3;0.050219652838473676;{0, 9};{0, 1, 5, 8, 9};0:00:00.017947;0.03159861378780732;{8, 7};{4, 6, 7, 8, 9};0:00:00
4;0.2555481594486314;{0, 2};{0, 1, 2, 3, 8};0:00:00.013963;0.1714284319926547;{2, 6};{0, 2, 5, 6, 7};0:00:00
5;0.06407291181910706;{1, 3};{1, 3, 4, 5, 8};0:00:00.015957;0.04337829869944385;{8, 9};{2, 4, 7, 8, 9};0:00:00
6;0.06460625017517778;{9, 5};{0, 1, 5, 6, 9};0:00:00.014960;0.13185643390070523;{9, 2};{2, 3, 4, 8, 9};0:00:00
7;0.2225066285596561;{2, 5};{0, 1, 2, 3, 5};0:00:00.019954;0.11919543978722684;{1, 6};{1, 2, 3, 6, 9};0:00:00
8;0.07214302310248785;{8, 5};{0, 1, 5, 6, 8};0:00:00.023929;0.0987729902561564;{1, 4};{1, 2, 3, 4, 9};0:00:00
9;0.1069376571010366;{0, 6};{0, 1, 2, 3, 6};0:00:00.016954;0.1001188241572086;{9, 6};{0, 4, 5, 6, 9};0:00:00
10;0.18761890097544143;{2, 5};{0, 2, 4, 5, 6};0:00:00.014962;0.37524763126675187;{8, 3};{0, 1, 3, 5, 8};0:00:00
11;0.09011407879787944;{9, 1};{0, 1, 5, 7, 9};0:00:00.022939;0.13078279470088205;{0, 4};{0, 3, 4, 6, 9};0:00:00
12;0.12002063836020857;{8, 1};{0, 1, 2, 5, 8};0:00:00.041886;0.12002063836020857;{8, 1};{1, 3, 6, 8, 9};0:00:00
13;0.1386117895583279;{3, 5};{1, 3, 4, 5, 6};0:00:00.020943;0.1386117895583279;{3, 5};{0, 3, 5, 7, 8};0:00:00
14;0.18874596963511955;{0, 7};{0, 1, 2, 3, 7};0:00:00.015960;0.11630762008716587;{4, 7};{0, 4, 5, 7, 8};0:00:00
15;0.10773268034804957;{0, 3};{0, 1, 3, 6, 8};0:00:00.013961;0.23037299783028906;{5, 6};{1, 2, 5, 6, 7};0:00:00
16;0.09483763253011834;{1, 6};{1, 4, 6, 7, 8};0:00:00.013963;0.09483763253011834;{1, 6};{0, 1, 3, 6, 9};0:00:00
17;0.05969391418231369;{5, 6};{0, 1, 5, 6, 7};0:00:00.013965;0.12238738527351377;{2, 7};{0, 1, 2, 3, 7};0:00:00
18;0.14463779845196414;{2, 6};{0, 1, 2, 6, 8};0:00:00.013960;0.06835716669197651;{0, 4};{0, 3, 4, 7, 9};0:00:00
19;0.25514331781204563;{0, 1};{0, 1, 2, 5, 8};0:00:00.017953;0.047873147294098965;{1, 6};{0, 1, 4, 6, 7};0:00:00
20;0.047114495064174075;{1, 3};{1, 2, 3, 5, 6};0:00:00.017952;0.023241770986465616;{8, 6};{4, 5, 6, 8, 9};0:00:00
21;0.07352126545216688;{2, 3};{0, 2, 3, 6, 7};0:00:00.019947;0.11592287008574009;{5, 7};{1, 3, 5, 7, 8};0:00:00
22;0.01541658684845025;{8, 3};{0, 3, 6, 7, 8};0:00:00.024933;0.1704532297676297;{0, 6};{0, 1, 2, 5, 6};0:00:00
23;0.1193803103248706;{2, 3};{0, 1, 2, 3, 9};0:00:00.015957;0.11546607714306505;{8, 1};{1, 2, 4, 5, 8};0:00:00.000998
24;0.18420465944850808;{0, 6};{0, 1, 6, 7, 8};0:00:00.015957;0.19879942262207417;{0, 2};{0, 1, 2, 3, 5};0:00:00
25;0.18914159198177627;{8, 0};{0, 2, 6, 8, 9};0:00:00.029920;0.1614279183618948;{2, 3};{2, 3, 5, 7, 8};0:00:00
26;0.05489093164692298;{0, 3};{0, 2, 3, 5, 8};0:00:00.020943;0.09420771473129277;{2, 6};{2, 5, 6, 8, 9};0:00:00
27;0.10049619399078198;{9, 4};{1, 3, 4, 7, 9};0:00:00.012965;0.011981148437110945;{5, 7};{2, 3, 5, 6, 7};0:00:00
28;0.11799299162912034;{4, 7};{0, 1, 3, 4, 7};0:00:00.012965;0.11799299162912034;{4, 7};{0, 4, 5, 7, 8};0:00:00
29;0.2267957852122241;{9, 5};{0, 1, 3, 5, 9};0:00:00.013965;0.06535843151760269;{1, 2};{0, 1, 2, 4, 8};0:00:00
30;0.08027732268372306;{2, 6};{0, 2, 4, 5, 6};0:00:00.024933;0.08027732268372306;{2, 6};{0, 2, 4, 6, 8};0:00:00.000997
31;0.1196976535199271;{9, 1};{0, 1, 2, 3, 9};0:00:00.014961;0.14268951676524227;{3, 7};{0, 3, 4, 7, 8};0:00:00
