ponovitev;najmanjsaRazdalja_B;najblizjiPar_B;tocke_B;casIzvajanja_B;najmanjsaRazdalja_P;najblizjiPar_P;tocke_;casIzvajanja_P
1;None;None;None;0:00:01.544870;0.04955747124171112;{5, 6};{3, 5, 6, 8, 12};0:00:00
2;None;None;None;0:00:01.641609;0.057456079912663126;{3, 14};{1, 2, 3, 14, 16};0:00:00.000997
3;None;None;None;0:00:01.006310;0.14320237870363878;{10, 4};{4, 10, 11, 14, 15};0:00:00
4;None;None;None;0:00:01.027254;0.14568026632698847;{17, 7};{6, 7, 11, 17, 18};0:00:00.000997
5;None;None;None;0:00:00.981378;0.07306875157340646;{1, 6};{0, 1, 6, 17, 18};0:00:00
6;None;None;None;0:00:01.083103;0.08460064255622993;{17, 1};{1, 3, 14, 17, 19};0:00:00
7;None;None;None;0:00:00.983372;0.07743632514673499;{10, 2};{1, 2, 8, 10, 14};0:00:00
8;None;None;None;0:00:00.990355;0.11271926616104201;{9, 4};{3, 4, 9, 15, 16};0:00:00
9;None;None;None;0:00:00.986360;0.15394099412315485;{0, 5};{0, 1, 5, 6, 19};0:00:00
10;None;None;None;0:00:00.963423;0.03929855554916521;{11, 7};{4, 6, 7, 11, 19};0:00:00
11;None;None;None;0:00:00.970405;0.08021429463685877;{3, 4};{3, 4, 10, 13, 18};0:00:00.000999
12;None;None;None;0:00:01.020272;0.12748565512969573;{8, 2};{0, 1, 2, 8, 16};0:00:00
13;None;None;None;0:00:00.963424;0.10778900444202925;{9, 2};{2, 9, 13, 15, 17};0:00:00
14;None;None;None;0:00:00.937493;0.07588314632235872;{3, 12};{1, 3, 8, 12, 13};0:00:00
15;None;None;None;0:00:00.924529;0.21459679635620654;{1, 11};{1, 8, 11, 14, 19};0:00:00
16;None;None;None;0:00:00.954448;0.02512590429332796;{18, 14};{0, 5, 11, 14, 18};0:00:00.000999
17;None;None;None;0:00:00.943476;0.07710658821876125;{17, 9};{5, 8, 9, 16, 17};0:00:00.000998
18;None;None;None;0:00:00.978385;0.06387216700415047;{17, 4};{2, 4, 6, 11, 17};0:00:00
19;None;None;None;0:00:01.012299;0.042327166799818475;{10, 4};{1, 4, 10, 15, 16};0:00:00
20;None;None;None;0:00:00.957434;0.1089666513000806;{16, 7};{5, 7, 10, 14, 16};0:00:00
21;None;None;None;0:00:00.952453;0.0645212864138034;{1, 11};{0, 1, 4, 7, 11};0:00:00
22;None;None;None;0:00:00.926523;0.11721054654290039;{19, 7};{7, 9, 10, 13, 19};0:00:00
23;None;None;None;0:00:00.918544;0.22582112175613245;{1, 10};{1, 2, 9, 10, 11};0:00:00
24;None;None;None;0:00:00.942480;0.18189694321706562;{5, 7};{2, 5, 7, 10, 11};0:00:00
25;None;None;None;0:00:00.921537;0.1360823018164395;{17, 1};{1, 3, 10, 17, 19};0:00:00
26;None;None;None;0:00:00.918545;0.19341201738241945;{17, 10};{3, 10, 12, 15, 17};0:00:00
27;None;None;None;0:00:00.962427;0.1105948003065007;{1, 14};{1, 2, 10, 14, 15};0:00:00
28;None;None;None;0:00:00.938490;0.09068084079228265;{16, 17};{1, 12, 13, 16, 17};0:00:00.000997
29;None;None;None;0:00:01.028253;0.10830125537270299;{11, 14};{0, 5, 11, 13, 14};0:00:00
30;None;None;None;0:00:00.990350;0.034548210797901546;{16, 13};{3, 5, 13, 16, 18};0:00:00
31;None;None;None;0:00:01.007309;0.3603397964107116;{9, 11};{1, 6, 9, 11, 18};0:00:00.000997
32;None;None;None;0:00:01.017279;0.05494617735115563;{16, 8};{3, 8, 16, 17, 19};0:00:00
33;None;None;None;0:00:00.990352;0.07737532112041687;{16, 4};{4, 6, 11, 14, 16};0:00:00.000998
34;None;None;None;0:00:01.040220;0.05584418847146928;{10, 15};{3, 7, 10, 14, 15};0:00:00
35;None;None;None;0:00:00.998331;0.015864572276892887;{10, 13};{6, 7, 8, 10, 13};0:00:00
36;None;None;None;0:00:01.004314;0.06254714961155265;{11, 19};{8, 9, 11, 15, 19};0:00:00.001000
37;None;None;None;0:00:01.016281;0.13049360206011507;{4, 6};{0, 1, 4, 6, 19};0:00:00
38;None;None;None;0:00:00.990353;0.10825923189779103;{17, 7};{3, 7, 9, 15, 17};0:00:00
39;None;None;None;0:00:00.967412;0.0241650493064101;{0, 2};{0, 2, 5, 14, 15};0:00:00
40;None;None;None;0:00:00.949465;0.05376692912747536;{11, 14};{1, 4, 11, 14, 18};0:00:00
41;None;None;None;0:00:00.980377;0.09617982163327461;{18, 13};{0, 5, 11, 13, 18};0:00:00.000998
42;None;None;None;0:00:01.006308;0.07196490100542538;{12, 7};{2, 5, 7, 12, 16};0:00:00
43;None;None;None;0:00:01.021271;0.06723293731704287;{18, 6};{1, 3, 5, 6, 18};0:00:00.000997
44;None;None;None;0:00:00.997333;0.24441169252978492;{17, 18};{2, 10, 12, 17, 18};0:00:00
45;None;None;None;0:00:00.993344;0.03482597916716158;{3, 13};{3, 4, 10, 13, 14};0:00:00.000997
46;None;None;None;0:00:00.958438;0.3077098202376547;{0, 6};{0, 3, 6, 13, 18};0:00:00
47;None;None;None;0:00:00.953478;0.1405574463005357;{0, 7};{0, 6, 7, 9, 19};0:00:00
48;None;None;None;0:00:00.957413;0.18048499307456603;{11, 13};{1, 10, 11, 13, 18};0:00:00
49;None;None;None;0:00:00.925525;0.09234885619352717;{8, 15};{8, 13, 15, 16, 19};0:00:00
50;None;None;None;0:00:00.927521;0.10182551462424018;{2, 12};{2, 3, 11, 12, 14};0:00:00
51;None;None;None;0:00:00.972401;0.21755818518393819;{13, 7};{2, 7, 12, 13, 19};0:00:00
52;None;None;None;0:00:01.054182;0.05433405133844282;{8, 14};{3, 6, 8, 14, 15};0:00:00.000997
53;None;None;None;0:00:00.964420;0.07410610577752956;{9, 6};{4, 6, 8, 9, 12};0:00:00
54;None;None;None;0:00:00.912561;0.22495587150880084;{1, 11};{0, 1, 11, 16, 18};0:00:00.000997
55;None;None;None;0:00:00.939490;0.025895789128749208;{13, 14};{3, 5, 13, 14, 19};0:00:00.000997
56;None;None;None;0:00:00.979380;0.16708382800483934;{12, 7};{6, 7, 8, 10, 12};0:00:00
57;None;None;None;0:00:01.020276;0.0695199222098161;{9, 13};{7, 9, 11, 13, 17};0:00:00
58;None;None;None;0:00:01.295535;0.05748038938745877;{13, 6};{1, 3, 6, 11, 13};0:00:00
59;None;None;None;0:00:01.183833;0.06117040208736396;{10, 4};{1, 4, 10, 11, 14};0:00:00
60;None;None;None;0:00:01.845068;0.09354536349963123;{9, 1};{1, 7, 9, 16, 19};0:00:00.000997
61;None;None;None;0:00:01.532903;0.08055486841764578;{0, 6};{0, 6, 7, 10, 15};0:00:00
62;None;None;None;0:00:01.038223;0.09692042841344363;{9, 15};{1, 9, 14, 15, 19};0:00:00
63;None;None;None;0:00:00.921536;0.05973158904085947;{9, 15};{4, 9, 11, 15, 16};0:00:00
64;None;None;None;0:00:00.949462;0.07765324417014645;{9, 11};{4, 9, 11, 12, 19};0:00:00
65;None;None;None;0:00:00.974397;0.11488286868945899;{4, 7};{1, 4, 7, 8, 19};0:00:00
66;None;None;None;0:00:01.008303;0.10660608362341488;{0, 4};{0, 3, 4, 7, 14};0:00:00
67;None;None;None;0:00:01.004315;0.14550063031791852;{8, 10};{8, 10, 14, 16, 17};0:00:00
68;None;None;None;0:00:00.978383;0.16789835057853852;{9, 1};{0, 1, 6, 9, 19};0:00:00
69;None;None;None;0:00:00.954450;0.10920614203800093;{17, 18};{0, 11, 15, 17, 18};0:00:00.000998
70;None;None;None;0:00:01.028251;0.07139795720911825;{11, 12};{3, 9, 10, 11, 12};0:00:00
71;None;None;None;0:00:00.919540;0.040187883079602596;{4, 14};{4, 5, 7, 8, 14};0:00:00
72;None;None;None;0:00:00.993345;0.07857282286334154;{16, 19};{7, 12, 16, 18, 19};0:00:00
73;None;None;None;0:00:01.018276;0.05584317593588977;{1, 15};{1, 2, 12, 15, 18};0:00:00
74;None;None;None;0:00:00.949464;0.15903730817903758;{11, 12};{1, 2, 10, 11, 12};0:00:00
75;None;None;None;0:00:01.033236;0.11082939402342663;{10, 4};{2, 4, 6, 10, 12};0:00:00
76;None;None;None;0:00:00.928519;0.05891552944559671;{10, 11};{5, 7, 10, 11, 13};0:00:00
77;None;None;None;0:00:00.967412;0.07803203442765619;{1, 10};{1, 2, 4, 10, 11};0:00:00
78;None;None;None;0:00:00.926523;0.13368079817049383;{9, 13};{3, 9, 12, 13, 15};0:00:00
79;None;None;None;0:00:01.009305;0.06466713961183267;{2, 7};{2, 7, 11, 12, 13};0:00:00
80;None;None;None;0:00:00.998328;0.03081664582700663;{9, 1};{1, 9, 12, 13, 18};0:00:00
81;None;None;None;0:00:00.920540;0.14465025602184164;{0, 17};{0, 9, 12, 16, 17};0:00:00
82;None;None;None;0:00:01.039222;0.13992990936669597;{11, 13};{7, 8, 11, 13, 19};0:00:00
83;None;None;None;0:00:00.976388;0.0379542263291131;{0, 4};{0, 4, 10, 14, 19};0:00:00
84;None;None;None;0:00:00.938492;0.08345416126800034;{10, 5};{0, 5, 6, 10, 11};0:00:00.000997
85;None;None;None;0:00:00.979382;0.09720274472611452;{9, 4};{0, 2, 4, 9, 16};0:00:00
