ponovitev;najmanjsaRazdalja_B;najblizjiPar_B;tocke_B;casIzvajanja_B;najmanjsaRazdalja_P;najblizjiPar_P;tocke_;casIzvajanja_P
1;0.02430866656120601;{43, 46};{0, 1, 4, 7, 8, 9, 11, 15, 16, 19, 20, 21, 22, 27, 35, 37, 43, 45, 46, 49};0:00:03.702103;0.01874774090067312;{43, 23};{0, 4, 5, 6, 8, 10, 13, 18, 20, 23, 31, 33, 36, 38, 40, 41, 43, 46, 47, 49};0:00:00.001993
2;0.0018071453073848283;{11, 38};{0, 1, 2, 6, 7, 8, 10, 11, 15, 16, 19, 25, 27, 31, 32, 34, 35, 38, 39, 42};0:00:04.770247;0.004515112433237929;{32, 25};{0, 4, 5, 9, 10, 12, 13, 14, 18, 19, 23, 25, 26, 29, 30, 32, 33, 34, 39, 42};0:00:00.002992
3;0.02636803193481193;{9, 43};{1, 2, 3, 4, 7, 8, 9, 11, 12, 13, 19, 27, 29, 31, 34, 37, 38, 43, 44, 45};0:00:04.427164;0.02636803193481193;{9, 43};{0, 2, 4, 6, 9, 12, 13, 14, 16, 28, 30, 33, 34, 35, 36, 37, 39, 40, 43, 47};0:00:00.001994
4;0.01091169956832609;{33, 42};{1, 2, 4, 5, 11, 13, 15, 17, 21, 25, 26, 32, 33, 36, 38, 40, 41, 42, 47, 49};0:00:04.629626;0.029532795094809383;{49, 11};{0, 3, 4, 7, 8, 11, 17, 18, 24, 25, 26, 27, 29, 32, 34, 43, 44, 45, 46, 49};0:00:00.001991
5;0.007062443213221871;{18, 27};{2, 4, 5, 7, 10, 12, 14, 15, 16, 17, 18, 20, 21, 24, 25, 26, 27, 33, 43, 47};0:00:03.251310;0.034792397138295204;{12, 21};{1, 4, 6, 9, 10, 11, 12, 20, 21, 25, 26, 32, 34, 36, 38, 40, 41, 42, 43, 46};0:00:00.001993
6;0.03775252708608061;{40, 23};{0, 3, 4, 6, 7, 8, 9, 10, 13, 16, 18, 20, 23, 25, 27, 33, 34, 36, 40, 44};0:00:03.174514;0.02463355718618614;{26, 6};{1, 3, 6, 7, 8, 9, 10, 11, 12, 13, 14, 22, 24, 26, 31, 35, 36, 39, 43, 48};0:00:00.003989
7;0.008540781269173951;{4, 39};{0, 4, 5, 7, 10, 12, 15, 18, 20, 22, 23, 24, 25, 27, 29, 31, 38, 39, 47, 49};0:00:04.370318;0.0017269371083818029;{37, 47};{1, 8, 10, 11, 12, 13, 18, 19, 22, 23, 27, 29, 30, 37, 38, 40, 41, 43, 46, 47};0:00:00.002991
8;0.01310702255086221;{40, 42};{0, 1, 2, 3, 4, 7, 10, 15, 16, 19, 21, 27, 29, 32, 37, 40, 42, 43, 44, 48};0:00:05.805477;0.016096023736622347;{30, 7};{0, 2, 6, 7, 11, 12, 16, 17, 18, 20, 23, 30, 34, 36, 37, 43, 45, 46, 47, 48};0:00:00.001995
9;0.013613064493147637;{16, 37};{1, 3, 4, 5, 8, 10, 14, 16, 17, 20, 21, 29, 30, 32, 36, 37, 38, 41, 46, 49};0:00:01.792209;0.013613064493147637;{16, 37};{2, 8, 13, 15, 16, 19, 20, 24, 25, 26, 27, 32, 34, 37, 38, 40, 45, 47, 48, 49};0:00:00.005984
10;0.002022711990353692;{24, 34};{0, 1, 2, 4, 7, 8, 10, 13, 19, 24, 25, 28, 29, 32, 34, 35, 40, 42, 44, 47};0:00:02.839410;0.02474943867720749;{19, 21};{8, 11, 12, 15, 16, 17, 19, 21, 28, 29, 30, 31, 33, 38, 40, 41, 42, 43, 46, 47};0:00:00.001994
11;0.031893340954018724;{1, 45};{1, 2, 3, 4, 5, 6, 10, 12, 13, 16, 19, 22, 24, 28, 33, 34, 35, 43, 45, 47};0:00:03.967393;0.018923066855157503;{26, 28};{1, 7, 12, 13, 14, 16, 18, 20, 21, 26, 27, 28, 30, 36, 37, 38, 39, 41, 45, 48};0:00:00.001999
12;0.03447655257540213;{25, 21};{0, 4, 5, 6, 8, 10, 15, 16, 17, 19, 21, 22, 24, 25, 36, 38, 41, 44, 48, 49};0:00:02.678835;0.04384821938160445;{41, 34};{0, 7, 12, 14, 15, 16, 18, 20, 23, 28, 29, 30, 32, 33, 34, 35, 36, 41, 43, 49};0:00:00.001994
13;0.030134838195594114;{40, 14};{0, 3, 4, 6, 10, 11, 12, 13, 14, 16, 17, 21, 33, 35, 38, 40, 42, 43, 45, 46};0:00:03.220400;0.00289114204927488;{33, 22};{0, 3, 4, 5, 6, 8, 13, 16, 22, 27, 28, 32, 33, 34, 36, 38, 44, 45, 48, 49};0:00:00.000987
14;0.03337766482114462;{2, 30};{1, 2, 7, 11, 12, 14, 15, 16, 18, 19, 20, 21, 22, 28, 30, 32, 36, 37, 48, 49};0:00:03.135617;0.02888255145748028;{26, 20};{1, 3, 7, 8, 10, 13, 15, 19, 20, 21, 24, 26, 27, 29, 33, 41, 42, 45, 46, 47};0:00:00.001994
15;0.015130614377929116;{0, 43};{0, 2, 3, 4, 6, 8, 11, 12, 13, 15, 19, 20, 23, 24, 26, 27, 34, 42, 43, 48};0:00:03.200444;0.01772405721277916;{2, 27};{2, 6, 8, 9, 11, 14, 16, 17, 19, 20, 21, 23, 25, 27, 31, 33, 35, 44, 45, 46};0:00:00.000993
16;0.015851715853209627;{34, 3};{0, 2, 3, 7, 8, 11, 12, 16, 20, 26, 29, 30, 34, 35, 36, 41, 42, 43, 44, 46};0:00:01.969734;0.008308089022721529;{11, 28};{5, 6, 8, 9, 11, 13, 15, 16, 20, 23, 25, 26, 27, 28, 31, 36, 37, 44, 48, 49};0:00:00.002007
17;0.014310716392562782;{9, 26};{0, 1, 2, 4, 5, 7, 9, 10, 11, 15, 22, 26, 31, 32, 35, 36, 40, 41, 44, 47};0:00:03.778884;0.0233368751809771;{40, 32};{0, 1, 2, 3, 11, 14, 16, 17, 18, 20, 21, 24, 27, 28, 32, 33, 35, 37, 40, 46};0:00:00.002001
18;0.04810243270245639;{11, 35};{2, 5, 6, 9, 11, 15, 17, 19, 22, 23, 27, 30, 31, 33, 35, 36, 37, 38, 41, 47};0:00:03.052832;0.036557022298754495;{11, 20};{8, 9, 11, 12, 13, 16, 18, 19, 20, 25, 29, 30, 31, 32, 34, 35, 36, 40, 44, 45};0:00:00.000998
19;0.022265255040469088;{28, 47};{1, 2, 3, 5, 6, 10, 13, 17, 18, 19, 20, 26, 28, 30, 36, 38, 40, 41, 47, 48};0:00:02.620991;0.022265255040469088;{28, 47};{0, 3, 4, 8, 12, 15, 24, 25, 26, 28, 30, 35, 36, 37, 40, 43, 44, 45, 46, 47};0:00:00.005986
20;0.013969115108342417;{36, 45};{1, 2, 6, 8, 9, 12, 14, 16, 17, 19, 21, 22, 25, 27, 36, 39, 42, 44, 45, 48};0:00:03.393925;0.005930726555796938;{25, 31};{3, 8, 11, 15, 16, 18, 20, 21, 23, 24, 25, 27, 31, 32, 33, 35, 39, 46, 47, 48};0:00:00.006982
21;0.03655299335725504;{38, 6};{6, 9, 10, 13, 14, 16, 23, 24, 29, 30, 33, 37, 38, 39, 40, 41, 42, 43, 45, 46};0:00:02.047527;0.0510106840262941;{40, 3};{0, 3, 5, 7, 11, 13, 15, 18, 19, 20, 24, 31, 33, 34, 40, 41, 44, 45, 48, 49};0:00:00.004987
22;0.03617623888647827;{19, 39};{0, 1, 3, 8, 10, 11, 14, 19, 20, 22, 28, 31, 32, 39, 40, 42, 43, 46, 48, 49};0:00:04.731350;0.011454598727702141;{1, 38};{0, 1, 2, 3, 6, 7, 15, 19, 20, 21, 25, 29, 30, 31, 32, 34, 38, 42, 45, 46};0:00:00.001994
23;0.013732166240374757;{48, 32};{0, 2, 3, 6, 7, 8, 9, 12, 13, 16, 19, 20, 23, 24, 30, 32, 43, 44, 48, 49};0:00:01.703446;0.028755772734181947;{33, 9};{2, 6, 8, 9, 10, 18, 19, 20, 24, 25, 26, 29, 31, 33, 37, 38, 41, 42, 43, 46};0:00:00.001994
24;0.007623859579135033;{37, 6};{1, 3, 4, 6, 8, 9, 10, 11, 12, 14, 16, 23, 25, 27, 29, 35, 37, 38, 40, 48};0:00:02.325783;0.023068921868360053;{29, 14};{1, 3, 5, 10, 11, 12, 14, 15, 17, 19, 22, 26, 29, 34, 36, 41, 42, 44, 46, 48};0:00:00.001994
25;0.027010293039151548;{19, 29};{0, 6, 7, 9, 11, 13, 17, 19, 24, 27, 29, 30, 32, 34, 36, 37, 40, 44, 47, 49};0:00:06.391911;0.019216655794205065;{43, 30};{0, 5, 6, 13, 15, 17, 19, 23, 27, 28, 29, 30, 36, 38, 39, 41, 42, 43, 45, 49};0:00:00.001994
26;0.028912112973114523;{11, 14};{0, 1, 3, 5, 6, 8, 11, 13, 14, 20, 24, 25, 30, 34, 36, 38, 39, 44, 48, 49};0:00:02.667869;0.06050430500000349;{48, 33};{1, 3, 4, 15, 18, 20, 23, 25, 27, 28, 29, 31, 33, 41, 42, 45, 46, 47, 48, 49};0:00:00.002992
27;0.02290608325833422;{0, 27};{0, 1, 3, 7, 8, 9, 10, 11, 17, 18, 21, 26, 27, 28, 32, 34, 36, 41, 45, 49};0:00:02.034574;0.023502230471975853;{10, 47};{4, 5, 7, 8, 10, 12, 14, 18, 19, 24, 26, 30, 32, 33, 37, 39, 42, 46, 47, 49};0:00:00.001981
