ponovitev;najmanjsaRazdalja_B;najblizjiPar_B;tocke_B;casIzvajanja_B;najmanjsaRazdalja_P;najblizjiPar_P;tocke_;casIzvajanja_P
1;0.02125226242983404;{10, 14};{1, 2, 3, 8, 10, 12, 14, 18};0:00:00.004985;0.1308867080769407;{8, 9};{0, 3, 6, 8, 9, 15, 17, 19};0:00:00.000998
2;0.07902294353579271;{18, 5};{0, 4, 5, 6, 7, 8, 9, 18};0:00:00.007981;0.07902294353579271;{18, 5};{3, 5, 6, 11, 12, 15, 16, 18};0:00:00
3;0.0892475738687114;{17, 6};{0, 4, 5, 6, 7, 12, 16, 17};0:00:00.055848;0.03936538879795746;{19, 5};{1, 3, 4, 5, 8, 11, 18, 19};0:00:00
4;0.0310561488169877;{3, 11};{0, 3, 4, 5, 7, 11, 15, 17};0:00:00.036901;0.03205882569132731;{0, 9};{0, 5, 6, 9, 13, 14, 17, 18};0:00:00
5;0.09540308254258893;{5, 7};{2, 3, 5, 7, 8, 9, 11, 12};0:00:00.031915;0.16334269979955598;{17, 2};{1, 2, 7, 10, 14, 17, 18, 19};0:00:00
6;0.031440101346603376;{19, 4};{1, 2, 4, 5, 6, 11, 16, 19};0:00:00.049868;0.0685081137894521;{0, 5};{0, 2, 4, 5, 7, 10, 12, 15};0:00:00
7;0.05527980568436654;{16, 5};{0, 2, 3, 5, 9, 10, 12, 16};0:00:00.046873;0.05527980568436654;{16, 5};{1, 5, 8, 9, 11, 13, 16, 19};0:00:00.000997
8;0.04154984100998714;{17, 10};{0, 1, 5, 9, 10, 15, 17, 18};0:00:00.042886;0.08229685080414956;{9, 13};{5, 6, 8, 9, 11, 13, 18, 19};0:00:00
9;0.03202911959876592;{11, 19};{0, 4, 8, 10, 11, 12, 13, 19};0:00:00.040890;0.06979816720730944;{18, 13};{0, 5, 9, 12, 13, 15, 17, 18};0:00:00
10;0.12090114513426599;{0, 18};{0, 1, 2, 3, 4, 14, 17, 18};0:00:00.048871;0.07519333099615981;{3, 19};{1, 3, 5, 8, 10, 12, 13, 19};0:00:00
11;0.09730562877945026;{19, 6};{1, 5, 6, 7, 9, 12, 17, 19};0:00:00.051854;0.05258756161865024;{9, 11};{0, 1, 4, 5, 9, 11, 14, 17};0:00:00.000998
12;0.12049880831842134;{16, 8};{0, 2, 3, 8, 9, 10, 11, 16};0:00:00.040891;0.14835700581470337;{8, 19};{1, 4, 8, 9, 13, 14, 15, 19};0:00:00
13;None;None;None;0:00:00.981376;0.03184216398938742;{16, 14};{1, 10, 12, 13, 14, 15, 16, 18};0:00:00.000998
14;0.04663127909492659;{14, 15};{0, 2, 3, 9, 11, 14, 15, 18};0:00:00.045879;0.17667261519441196;{16, 0};{0, 2, 4, 5, 6, 8, 13, 16};0:00:00
15;0.033253067440314345;{17, 15};{0, 1, 8, 9, 15, 17, 18, 19};0:00:00.044879;0.033253067440314345;{17, 15};{2, 3, 4, 7, 13, 15, 17, 18};0:00:00.000996
16;0.02273570361629307;{11, 7};{4, 5, 7, 8, 11, 13, 14, 17};0:00:00.038896;0.1069591898417927;{3, 4};{0, 3, 4, 6, 8, 15, 18, 19};0:00:00
17;0.07546810067540209;{11, 15};{0, 4, 10, 11, 14, 15, 16, 17};0:00:00.035903;0.06866715327044284;{14, 6};{3, 5, 6, 8, 11, 14, 15, 16};0:00:00
18;0.061330882257858724;{16, 13};{0, 3, 5, 7, 12, 13, 15, 16};0:00:00.036900;0.08731564496629016;{10, 7};{0, 1, 2, 4, 7, 9, 10, 11};0:00:00.000999
