ponovitev;najmanjsaRazdalja_B;najblizjiPar_B;tocke_B;casIzvajanja_B;najmanjsaRazdalja_P;najblizjiPar_P;tocke_;casIzvajanja_P
1;0.04356190975997916;{0, 1};{0, 1, 5, 8};0:00:00.026930;0.092216493884832;{1, 3};{1, 2, 3, 9};0:00:00
2;0.23799087230780375;{5, 6};{0, 2, 5, 6};0:00:00.004984;0.39780528078139854;{1, 3};{1, 3, 4, 7};0:00:00
3;0.17105771211903958;{1, 2};{8, 1, 2, 5};0:00:00.021937;0.12660787874837806;{5, 6};{9, 3, 5, 6};0:00:00.000997
4;0.11506179171537857;{2, 4};{1, 2, 4, 6};0:00:00.024934;0.07037529425944199;{1, 5};{0, 1, 3, 5};0:00:00
5;0.3974898783957204;{0, 2};{0, 1, 2, 4};0:00:00.003993;0.09720875955771603;{4, 6};{2, 3, 4, 6};0:00:00
6;0.07670052191286213;{1, 5};{1, 5, 9, 7};0:00:00.023914;0.5518212607290806;{0, 3};{0, 9, 3, 6};0:00:00
7;0.2979085122855923;{1, 5};{1, 4, 5, 6};0:00:00.018950;0.27514536209652307;{8, 6};{8, 2, 4, 6};0:00:00
8;0.11373007930457903;{9, 1};{0, 1, 2, 9};0:00:00.003989;0.05603403495497904;{9, 7};{8, 1, 9, 7};0:00:00
9;0.13995427361983442;{2, 7};{0, 2, 3, 7};0:00:00.027925;0.6341456763690907;{8, 5};{8, 1, 5, 7};0:00:00
10;0.2883230355775641;{0, 2};{0, 2, 3, 5};0:00:00.018949;0.29825343106352575;{5, 7};{8, 1, 5, 7};0:00:00
11;0.05822366589382999;{0, 9};{0, 1, 8, 9};0:00:00.022939;0.05822366589382999;{0, 9};{0, 9, 5, 7};0:00:00
12;0.3466507243754528;{0, 2};{0, 2, 3, 6};0:00:00.026929;0.5090660145683392;{0, 5};{0, 1, 5, 8};0:00:00
13;0.07166034788856557;{8, 6};{8, 2, 5, 6};0:00:00.014965;0.09082448294285342;{8, 9};{8, 9, 3, 7};0:00:00
14;0.21129360609939224;{5, 6};{8, 5, 6, 7};0:00:00.018949;0.24688379128755333;{0, 6};{0, 3, 4, 6};0:00:00
15;0.10262126521869641;{5, 7};{1, 5, 9, 7};0:00:00.018960;0.15115844152922117;{0, 9};{0, 9, 4, 6};0:00:00
16;0.2432108676247343;{1, 3};{1, 2, 3, 6};0:00:00.004976;0.09434125897036727;{2, 5};{2, 4, 5, 7};0:00:00
17;0.18818996254516535;{1, 7};{0, 1, 9, 7};0:00:00.027916;0.24697559307918773;{8, 4};{8, 3, 4, 5};0:00:00
18;0.022703294447477214;{0, 6};{0, 1, 4, 6};0:00:00.004012;0.12649866631916293;{5, 6};{3, 5, 6, 7};0:00:00
19;0.14039023678044268;{1, 5};{8, 1, 2, 5};0:00:00.019931;0.06562753887142142;{2, 7};{0, 9, 2, 7};0:00:00
20;0.15527931476849935;{8, 0};{0, 1, 6, 8};0:00:00.027918;0.2585487993439751;{9, 4};{9, 3, 4, 7};0:00:00
21;0.21540273551976177;{8, 0};{0, 8, 3, 4};0:00:00.026928;0.1326243166092915;{2, 3};{8, 2, 3, 4};0:00:00
22;0.05726048523800713;{0, 6};{0, 1, 6, 7};0:00:00.019947;0.05726048523800713;{0, 6};{8, 0, 4, 6};0:00:00
23;0.16052274901078356;{1, 7};{1, 2, 3, 7};0:00:00.023936;0.010124078185011844;{2, 5};{8, 9, 2, 5};0:00:00
